Rank,Major,Degree Type,Early Career Pay,Mid-Career Pay,% High Meaning
17,542,Public Administration,Bachelors,"$46,700","$76,900",57%
18,542,Human Nutrition,Bachelors,"$48,600","$76,900",85%
19,545,Audio Engineering,Bachelors,"$48,300","$76,800",39%
20,545,Graphics Technology & Management,Bachelors,"$39,500","$76,800",38%
21,545,Physical Anthropology,Bachelors,"$52,900","$76,800",51%
22,548,Organizational Leadership,Bachelors,"$50,500","$76,700",58%
23,549,Environmental Health Science,Bachelors,"$53,800","$76,600",61%
24,549,Health Sciences,Bachelors,"$44,600","$76,600",70%
0,551,Journalism & Electronic Media,Bachelors,"$45,200","$76,500",48%
1,552,Religious Studies,Bachelors,"$43,900","$76,300",55%
2,553,Art History,Bachelors,"$46,600","$76,200",45%
3,553,Radiologic Science,Bachelors,"$57,600","$76,200",81%
4,555,3D Animation,Bachelors,"$51,800","$76,000",42%
5,556,Culture Studies,Bachelors,"$48,100","$75,900",40%
6,556,Merchandising,Bachelors,"$53,100","$75,900",31%
7,558,Administrative Management,Bachelors,"$52,700","$75,800",50%
8,558,Human Resources (HR),Bachelors,"$47,300","$75,800",56%
9,558,Liberal Arts,Bachelors,"$44,500","$75,800",53%
10,561,Adult Education & Training,Bachelors,"$48,700","$75,600",79%
11,561,Fashion Merchandising,Bachelors,"$46,900","$75,600",29%
12,561,Health & Fitness,Bachelors,"$39,800","$75,600",67%
13,564,Natural Resources,Bachelors,"$47,400","$75,500",64%
14,564,Organizational Management,Bachelors,"$48,800","$75,500",57%
15,566,Modern Languages,Bachelors,"$50,300","$75,400",53%
16,566,Natural Resource Management,Bachelors,"$46,500","$75,400",60%
17,566,Retail Management,Bachelors,"$50,100","$75,400",35%
18,566,Sociology & Anthropology,Bachelors,"$44,500","$75,400",50%
19,570,Creative Writing,Bachelors,"$45,300","$75,200",41%
20,571,Criminal Justice Administration,Bachelors,"$45,700","$75,100",56%
21,572,Ethnic Studies,Bachelors,"$47,500","$74,900",63%
22,572,Philosophy & Religious Studies,Bachelors,"$49,300","$74,900",61%
23,572,Radiology,Bachelors,"$54,800","$74,900",80%
24,575,Medical Laboratory Technology,Bachelors,"$56,900","$74,400",82%
0,575,Sports Management,Bachelors,"$45,400","$74,400",43%
1,577,Anthropology & English,Bachelors,"$48,000","$74,300",-
2,577,Broadcast Communication,Bachelors,"$40,000","$74,300",44%
3,577,Criminology,Bachelors,"$44,700","$74,300",54%
4,577,Earth Science,Bachelors,"$50,000","$74,300",48%
5,577,Media & Technology,Bachelors,"$45,200","$74,300",43%
6,577,Visual Communications,Bachelors,"$45,400","$74,300",38%
7,583,Advertising & Graphic Design,Bachelors,"$46,800","$74,200",37%
8,583,Applied Behavior Analysis,Bachelors,"$38,700","$74,200",81%
9,583,Psychology,Bachelors,"$44,700","$74,200",56%
10,586,Applied Management,Bachelors,"$45,500","$74,100",53%
11,586,Hotel & Restaurant Management,Bachelors,"$47,300","$74,100",48%
12,588,Anthropology,Bachelors,"$46,400","$73,900",46%
13,589,Arts Management,Bachelors,"$39,400","$73,800",48%
14,589,Diagnostic Medical Imaging,Bachelors,"$60,600","$73,800",73%
15,591,Communication Arts,Bachelors,"$42,400","$73,600",39%
16,591,Middle Eastern Studies,Bachelors,"$57,100","$73,600",48%
17,591,Radiologic Technology,Bachelors,"$55,200","$73,600",83%
18,591,Painting & Printmaking,Bachelors,"$34,700","$73,600",41%
19,595,Cardiopulmonary Science,Bachelors,"$48,900","$73,400",90%
20,595,Human Relations,Bachelors,"$45,000","$73,400",63%
21,597,Humanities,Bachelors,"$48,500","$73,200",49%
22,598,Health Care Administration,Bachelors,"$45,800","$73,100",69%
23,599,Health Care Management,Bachelors,"$46,700","$73,000",72%
24,599,Life Sciences,Bachelors,"$53,100","$73,000",64%
0,601,Ecology,Bachelors,"$46,400","$72,900",57%
1,601,Media Arts,Bachelors,"$46,500","$72,900",34%
2,603,Respiratory Care,Bachelors,"$54,800","$72,800",84%
3,604,Art & Design,Bachelors,"$45,100","$72,700",38%
4,604,Health Information Management,Bachelors,"$49,000","$72,700",69%
5,604,Hospitality Management,Bachelors,"$46,400","$72,700",43%
6,607,Health Teacher Education,Bachelors,"$37,900","$72,600",46%
7,607,Sports Medicine,Bachelors,"$50,100","$72,600",77%
8,607,Multimedia & Web Design,Bachelors,"$50,200","$72,600",34%
9,610,Sociology,Bachelors,"$46,200","$72,500",55%
10,611,Liberal Studies,Bachelors,"$44,300","$72,400",56%
11,612,Interior Design,Bachelors,"$45,100","$72,300",50%
12,612,Medical Laboratory Science,Bachelors,"$55,600","$72,300",85%
13,612,Secondary Education,Bachelors,"$44,600","$72,300",59%
14,615,Child Psychology,Bachelors,"$38,900","$72,200",64%
15,615,Exercise Physiology,Bachelors,"$44,100","$72,200",76%
16,615,Radiography,Bachelors,"$55,300","$72,200",85%
17,618,Archaeology,Bachelors,"$45,900","$72,100",46%
18,618,Art Administration,Bachelors,"$40,200","$72,100",56%
19,618,Hotel & Restaurant Tourism,Bachelors,"$44,300","$72,100",49%
20,618,Illustration,Bachelors,"$45,200","$72,100",36%
21,622,Arts & Science,Bachelors,"$45,700","$71,900",-
22,622,Health,Bachelors,"$44,200","$71,900",73%
23,622,Turfgrass Management,Bachelors,"$53,100","$71,900",51%
24,625,Animal Science & Management,Bachelors,"$44,200","$71,800",55%
0,626,SocialStudies,Bachelors,"$45,800","$71,700",57%
1,627,Human Resources Development,Bachelors,"$48,600","$71,600",50%
2,627,Speech Pathology & Audiology,Bachelors,"$44,100","$71,600",78%
3,629,Clinical Laboratory Science,Bachelors,"$55,100","$71,500",83%
4,629,Forensic Science,Bachelors,"$46,000","$71,500",64%
5,629,Health Administration,Bachelors,"$42,700","$71,500",66%
6,632,Geomatics,Bachelors,"$52,300","$71,400",70%
7,632,Media Communication,Bachelors,"$47,000","$71,400",45%
8,634,Health Management,Bachelors,"$45,100","$71,300",-
9,634,Commercial Photography,Bachelors,"$43,800","$71,300",23%
10,636,Fashion Design & Marketing,Bachelors,"$45,300","$71,100",44%
11,636,Mass Media,Bachelors,"$40,300","$71,100",49%
12,638,Medical Technology,Bachelors,"$56,500","$71,000",81%
13,639,Respiratory Therapy,Bachelors,"$54,500","$70,900",82%
14,640,Theater,Bachelors,"$44,600","$70,700",50%
15,641,Forensic Psychology,Bachelors,"$43,000","$70,600",54%
16,641,Kinesiology,Bachelors,"$44,800","$70,600",66%
17,643,Performing Arts,Bachelors,"$45,700","$70,500",57%
18,643,Psychology & Social Behavior,Bachelors,"$45,800","$70,500",59%
19,643,Religion,Bachelors,"$44,400","$70,500",59%
20,643,Radio & Television,Bachelors,"$43,100","$70,500",41%
21,647,Technology Teacher Education,Bachelors,"$47,700","$70,400",57%
22,648,Educational Studies (ED),Bachelors,"$40,300","$70,200",65%
23,648,Music,Bachelors,"$44,300","$70,200",55%
24,648,Business Leadership,Bachelors,"$50,100","$70,200",45%
0,651,Drafting & Design,Bachelors,"$51,000","$70,100",69%
1,651,Plant Sciences,Bachelors,"$48,000","$70,100",60%
2,653,Criminal Justice,Bachelors,"$42,800","$69,800",56%
3,653,Web Design,Bachelors,"$49,900","$69,800",25%
4,655,Graphic Design,Bachelors,"$45,100","$69,700",37%
5,656,Nutrition,Bachelors,"$48,100","$69,600",65%
6,656,Nutrition & Dietetics,Bachelors,"$50,800","$69,600",72%
7,658,Missions,Bachelors,"$41,300","$69,500",-
8,659,Dramatic Art,Bachelors,"$41,400","$69,400",-
9,660,Fashion Marketing & Management,Bachelors,"$47,700","$69,100",30%
10,661,Interdisciplinary Studies (IS),Bachelors,"$44,600","$68,900",56%
11,662,Hospitality & Tourism,Bachelors,"$44,200","$68,800",41%
12,662,Human Ecology,Bachelors,"$42,100","$68,800",54%
13,662,Ornamental Horticulture,Bachelors,"$46,000","$68,800",69%
14,662,Physical Therapist Assistant Studies,Bachelors,"$49,900","$68,800",85%
15,662,Public Health (PH),Bachelors,"$46,000","$68,800",69%
16,667,Art Therapy,Bachelors,"$41,100","$68,600",80%
17,667,Dietetics,Bachelors,"$51,300","$68,600",74%
18,667,Landscape Management,Bachelors,"$52,300","$68,600",-
19,670,Applied Sociology,Bachelors,"$42,200","$68,500",57%
20,670,Fine Arts,Bachelors,"$43,200","$68,500",44%
21,670,Modern Language Spanish,Bachelors,"$43,800","$68,500",52%
22,670,Women's Studies,Bachelors,"$45,200","$68,500",59%
23,670,Social & Criminal Justice,Bachelors,"$44,800","$68,500",59%
24,675,Animal Science,Bachelors,"$41,200","$68,300",64%
0,675,New Media,Bachelors,"$46,000","$68,300",33%
1,675,Textiles & Clothing,Bachelors,"$45,100","$68,300",47%
2,678,Event Management,Bachelors,"$41,700","$68,200",40%
3,679,Family & Consumer Science,Bachelors,"$42,600","$68,000",59%
4,680,Speech-Language Pathology,Bachelors,"$44,100","$67,900",70%
5,681,Technical Theatre,Bachelors,"$41,000","$67,600",42%
6,682,Education,Bachelors,"$44,100","$67,500",65%
7,682,Foods & Nutrition,Bachelors,"$47,000","$67,500",68%
8,682,Recreation Management,Bachelors,"$42,300","$67,500",58%
9,685,Business & Healthcare Management,Bachelors,"$46,900","$67,300",69%
10,686,Agricultural Teacher Education,Bachelors,"$53,500","$67,100",-
11,687,Music Composition,Bachelors,"$44,000","$66,900",51%
12,688,Art,Bachelors,"$43,400","$66,700",46%
13,688,Psychology & Sociology,Bachelors,"$42,800","$66,700",53%
14,690,Drawing & Painting,Bachelors,"$42,800","$66,600",48%
15,691,Nonprofit Management,Bachelors,"$42,300","$66,300",79%
16,692,Small Business Management,Bachelors,"$47,100","$66,200",38%
17,693,Behavioral Science,Bachelors,"$43,000","$66,000",62%
18,694,Horticulture & Agronomy,Bachelors,"$52,500","$65,900",-
19,695,Health Services Administration,Bachelors,"$42,700","$65,800",63%
20,695,Multidisciplinary Studies,Bachelors,"$41,800","$65,800",53%
21,695,Restaurant & Food Service Management,Bachelors,"$43,900","$65,800",45%
22,698,Consumer Affairs,Bachelors,"$51,000","$65,700",43%
23,699,Training and Development,Bachelors,"$52,600","$65,600",-
24,699,Health & Exercise Science,Bachelors,"$41,700","$65,600",67%
0,699,Electronic Media,Bachelors,"$45,300","$65,600",37%
1,702,Environmental Resource Management,Bachelors,"$48,700","$65,500",65%
2,703,Theatre Arts,Bachelors,"$43,500","$65,300",51%
3,704,Applied Linguistics,Bachelors,"$46,800","$65,200",44%
4,705,African American & African Studies,Bachelors,"$46,400","$65,100",60%
5,705,Exercise & Sports Science,Bachelors,"$42,600","$65,100",70%
6,705,General Studies,Bachelors,"$43,600","$65,100",52%
7,705,Justice Studies,Bachelors,"$45,300","$65,100",50%
8,705,Video Production,Bachelors,"$42,800","$65,100",33%
9,710,Graphic Arts,Bachelors,"$42,700","$64,900",41%
10,710,Physical Education Teaching,Bachelors,"$42,200","$64,900",69%
11,712,Health Services Management,Bachelors,"$41,600","$64,800",83%
12,712,Physical Education & Exercise Science,Bachelors,"$44,100","$64,800",72%
13,712,Drawing,Bachelors,"$37,400","$64,800",39%
14,715,Exercise Science,Bachelors,"$41,400","$64,700",73%
15,716,Printmaking,Bachelors,"$38,400","$64,300",40%
16,716,Sports Administration,Bachelors,"$43,300","$64,300",47%
17,716,Theology,Bachelors,"$42,800","$64,300",68%
18,719,Interior Design & Merchandising,Bachelors,"$43,700","$64,200",37%
19,719,Recreation & Leisure Studies,Bachelors,"$40,300","$64,200",60%
20,721,Human Development,Bachelors,"$43,700","$64,100",64%
21,721,Music Industry,Bachelors,"$45,800","$64,100",38%
22,721,Wildlife Management,Bachelors,"$39,700","$64,100",49%
23,721,Supervision & Management,Bachelors,"$41,700","$64,100",57%
24,725,Health & Wellness,Bachelors,"$40,100","$64,000",70%
0,725,Culinary Arts & Food Service Management,Bachelors,"$41,300","$64,000",50%
1,725,Mortuary Science,Bachelors,"$43,500","$64,000",85%
2,728,Clinical Psychology,Bachelors,"$43,000","$63,900",65%
3,728,Community Health Education,Bachelors,"$42,600","$63,900",75%
4,728,Dance,Bachelors,"$45,100","$63,900",62%
5,731,Speech Pathology,Bachelors,"$42,800","$63,700",69%
6,732,Gender Studies,Bachelors,"$45,500","$63,600",55%
7,732,Secondary English Teacher Education,Bachelors,"$42,000","$63,600",64%
8,734,Photography,Bachelors,"$43,800","$63,500",38%
9,735,English Teacher Education,Bachelors,"$43,300","$63,100",57%
10,735,Paralegal Studies,Bachelors,"$39,600","$63,100",50%
11,735,Social Studies Teacher Education,Bachelors,"$43,400","$63,100",65%
12,738,Teaching English as a Second Language (ESL),Bachelors,"$42,800","$63,000",73%
13,738,Music Teacher Education,Bachelors,"$42,000","$63,000",62%
14,740,Health Promotion,Bachelors,"$42,300","$62,800",69%
15,740,Recording Arts,Bachelors,"$44,800","$62,800",48%
16,742,Photojournalism,Bachelors,"$41,900","$62,600",59%
17,743,Recreation Administration,Bachelors,"$47,000","$62,500",71%
18,744,Radio Broadcasting,Bachelors,"$46,300","$62,400",33%
19,745,Sculpture,Bachelors,"$40,300","$62,200",47%
20,746,Painting,Bachelors,"$40,700","$62,000",44%
21,746,Psychology & Social Sciences,Bachelors,"$42,600","$62,000",68%
22,748,Health & Physical Education Teaching,Bachelors,"$38,700","$61,900",65%
23,749,Organizational Administration,Bachelors,"$45,000","$61,800",-
24,750,Tourism Management,Bachelors,"$43,100","$61,600",38%
0,750,Instrumental Music Teacher Education,Bachelors,"$41,700","$61,600",65%
1,752,Emergency Medical Services (EMS),Bachelors,"$44,200","$61,400",-
2,753,Community Health,Bachelors,"$45,400","$61,300",72%
3,754,Health & Human Performance,Bachelors,"$38,100","$61,100",68%
4,755,Music Therapy,Bachelors,"$43,100","$60,700",93%
5,756,Social Services,Bachelors,"$39,900","$60,500",82%
6,757,Rehabilitation Services,Bachelors,"$35,800","$60,200",79%
7,758,Horticulture,Bachelors,"$43,000","$60,100",59%
8,759,University Studies,Bachelors,"$42,400","$60,000",49%
9,760,Church Ministries,Bachelors,"$40,000","$59,900",79%
10,761,Communicative Disorders,Bachelors,"$47,400","$59,800",73%
11,761,Social Science Teacher Education,Bachelors,"$45,400","$59,800",-
12,761,Wildlife Biology,Bachelors,"$42,900","$59,800",60%
13,764,Community Development,Bachelors,"$44,600","$59,400",63%
14,764,Psychology & Human Services,Bachelors,"$35,600","$59,400",-
15,766,Athletic Training,Bachelors,"$42,100","$59,300",75%
16,767,Biblical Studies,Bachelors,"$40,500","$59,000",72%
17,768,Biblical Studies & Practical Ministries,Bachelors,"$36,400","$58,900",76%
18,768,Counseling Psychology,Bachelors,"$42,700","$58,900",64%
19,768,Recreational Studies,Bachelors,"$42,100","$58,900",69%
20,768,Teaching,Bachelors,"$42,000","$58,900",72%
21,772,Home Economics,Bachelors,"$41,800","$58,700",69%
22,772,Library & Information Science,Bachelors,"$48,200","$58,700",48%
23,774,Human Development & Family Studies,Bachelors,"$40,300","$58,600",66%
24,774,Tourism & Travel,Bachelors,"$42,200","$58,600",43%
0,776,Landscape Design,Bachelors,"$49,000","$58,500",63%
1,777,Ceramics,Bachelors,"$42,200","$58,300",51%
2,777,Clinical Social Work (CSW),Bachelors,"$43,500","$58,300",-
3,777,Parks & Recreation Management,Bachelors,"$42,700","$58,300",56%
4,780,Pastoral Ministry,Bachelors,"$38,700","$58,000",83%
5,780,Vocal Performance,Bachelors,"$42,600","$58,000",65%
6,782,Art Teacher Education,Bachelors,"$40,300","$57,500",62%
7,782,Bible Studies & Theology,Bachelors,"$40,000","$57,500",67%
8,784,Forensic Accounting,Bachelors,"$48,300","$57,200",48%
9,785,Communication Sciences & Disorders,Bachelors,"$43,300","$57,100",76%
10,785,Legal Assistant Studies,Bachelors,"$38,100","$57,100",38%
11,787,Special Education,Bachelors,"$41,300","$57,000",76%
12,788,Conservation Biology,Bachelors,"$42,800","$56,900",57%
13,789,Family Studies,Bachelors,"$39,200","$56,800",68%
14,790,Christian Ministry,Bachelors,"$38,100","$56,400",79%
15,790,Speech & Hearing,Bachelors,"$43,300","$56,400",76%
16,792,Health and Human Services,Bachelors,"$43,500","$56,300",65%
17,793,Musical Theatre,Bachelors,"$43,500","$56,100",50%
18,794,History Teacher Education,Bachelors,"$47,700","$55,600",46%
19,795,Developmental Psychology,Bachelors,"$38,200","$55,000",-
20,796,Therapeutic Recreation,Bachelors,"$39,500","$54,900",82%
21,797,Applied Behavioral Science,Bachelors,"$40,500","$54,600",50%
22,797,Community & Human Services,Bachelors,"$42,400","$54,600",80%
23,797,Social Work (SW),Bachelors,"$38,600","$54,600",76%
24,800,Office Administration,Bachelors,"$38,700","$54,500",65%
0,801,Ministry,Bachelors,"$36,700","$54,300",81%
1,801,Family & Community Services,Bachelors,"$42,200","$54,300",74%
2,803,Youth Ministry,Bachelors,"$37,400","$54,200",76%
3,804,Elementary Education,Bachelors,"$40,000","$53,800",69%
4,805,Voice & Opera,Bachelors,"$34,500","$53,300",57%
5,806,Christian Education,Bachelors,"$38,700","$53,200",82%
6,806,Conflict Resolution,Bachelors,"$44,400","$53,200",50%
7,808,Baking & Pastry Arts,Bachelors,"$37,500","$53,000",44%
8,808,Human Services Management,Bachelors,"$45,600","$53,000",-
9,810,Hospitality & The Culinary Arts,Bachelors,"$38,800","$52,900",-
10,811,Human Services (HS),Bachelors,"$38,700","$52,500",71%
11,812,Counseling,Bachelors,"$39,900","$51,700",78%
12,813,Recreational Therapy,Bachelors,"$38,400","$51,600",84%
13,814,Child Development,Bachelors,"$37,400","$51,400",73%
14,815,Educational Psychology,Bachelors,"$36,900","$51,200",-
15,816,Middle School Education,Bachelors,"$41,200","$50,800",73%
16,817,Mental Health Counseling,Bachelors,"$36,100","$50,000",78%
17,818,Early Childhood & Elementary Education,Bachelors,"$38,000","$48,400",77%
18,819,Equine Studies,Bachelors,"$35,700","$47,100",50%
19,820,Addiction Studies,Bachelors,"$38,000","$47,000",84%
20,821,Child & Family Studies,Bachelors,"$36,400","$46,500",73%
21,822,Rehabilitation Counseling,Bachelors,"$39,200","$46,400",-
22,823,Outdoor Education,Bachelors,"$37,400","$46,300",52%
23,824,Early Childhood Education,Bachelors,"$36,100","$45,400",78%
24,825,Mental Health,Bachelors,"$36,900","$45,000",-
0,826,Medical Assisting,Bachelors,"$36,000","$44,800",-
1,827,Metalsmithing,Bachelors,"$40,000","$40,300",33%
